,author,title,description,url,urlToImage,publishedAt,content,source.name,category
13,Cassidy Johncox,"State suspends 3 liquor licenses, cites 4 establishments for violating Michigan COVID order - WDIV ClickOnDetroit",Liquor licenses have been suspended at three Michigan establishments Wednesday for violating the state’s recent public health order meant to slow the spread of coronavirus.,https://www.clickondetroit.com/news/michigan/2020/11/26/state-suspends-3-liquor-licenses-cites-4-establishments-for-violating-michigan-covid-order/,https://www.clickondetroit.com/resizer/TizVMfcSWzah1UVjh2wIidOCrzc=/1600x900/smart/filters:format(jpeg):strip_exif(true):strip_icc(true):no_upscale(true):quality(65)/cloudfront-us-east-1.images.arcpublishing.com/gmg/FANHCSZOONBJ5IPS55VZXCUOBI.png,2020-11-26T00:07:51Z,"Liquor licenses have been suspended at three Michigan establishments Wednesday for violating the states recent public health order meant to slow the spread of coronavirus.
The Michigan Liquor Contro",WDIV ClickOnDetroit,business
14,Rob Pegoraro,"As Comcast enforces data caps nationwide, will AT&T, Verizon, Charter and other internet providers follow? - USA TODAY",Comcast is expanding its 1.2TB data cap to more residential customers as folks continue to work and school from home. Here's what its rivals are doing.,https://www.usatoday.com/story/tech/columnist/2020/11/25/comcast-xfinity-data-cap-att-verizon-charter-internet-provider/6425921002/,https://www.gannett-cdn.com/-mm-/9e1f6e2ee20f44aa1f3be4f71e9f3e52b6ae2c7e/c=0-110-2121-1303/local/-/media/2020/11/10/USATODAY/usatsports/students-surfing-the-internet-studying-getty.jpg?width=1600&height=800&fit=crop,2020-11-26T00:00:00Z,"If you're a Comcast customer, the internet may soon feel less wide-open.
On Tuesday, the nations largest internet provider announced that, starting Jan. 1, it would extend its 1.2 terabyte data cap ",USA Today,business
15,Heather Schwedel,A 19-Year Veteran of the Butterball Turkey Talk Line on How Callers Have Changed This Year - Slate,"When you work the phones for 10 hours every Thanksgiving, you know how to celebrate virtually.",https://slate.com/human-interest/2020/11/butterball-turkey-talk-line-operator-thanksgiving-interview.html,https://compote.slate.com/images/22046024-04af-43e5-889d-599e6d872fb1.jpeg?width=780&height=520&rect=903x602&offset=205x0,2020-11-25T23:52:00Z,"The turkey line people are ON IT.Butterball
Santas workshop has its elves, and for 39 years now, Thanksgiving has had its own worker bees, the experts at Butterballs Turkey Talk Line, who set up sho",Slate Magazine,business
16,Rachel Sandler,Microsoft’s New ‘Productivity Score’ Lets Your Boss Monitor How Often You Use Email And Attend Video Meetings - Forbes,Microsoft 365’s “productivity score” shows employers how many days in the last month you’ve been on Microsoft apps and the number of times you’ve used video in meetings.,https://www.forbes.com/sites/rachelsandler/2020/11/25/microsofts-new-productivity-score-lets-your-boss-monitor-how-often-you-use-email-and-attend-video-meetings/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5fbee55e45f264b405a7d194%2F0x0.jpg,2020-11-25T23:47:45Z,"Signage displayed outside the Microsoft Corp. main campus in Redmond, Washington, U.S., on Tuesday, ... [+] Dec. 19, 2017.
Photographer: David Ryder/Bloomberg © 2017 Bloomberg Finance LP
At Microso",Forbes,business
17,Joseph Guzman,UPS is making dry ice and supplying portable freezers for vaccine distribution | TheHill - The Hill,Federal officials announced this week distribution of Pfizer’s coronavirus vaccine could begin in mid-December.,https://thehill.com/changing-america/well-being/longevity/527651-ups-is-making-dry-ice-and-supplying-portable-freezers,https://thehill.com/sites/default/files/ca_upsvaccinedistribution_112520getty.jpg,2020-11-25T23:37:31Z,The United Parcel Service (UPS) has established its own dry ice production in its U.S. facilities and will distribute ultra-cold temperature freezers to help in the distribution efforts for COVID-19 ,The Hill,business
18,Steve Brown,Not adding up: Two different answers on the number of positive COVID-19 tests in Erie County - WGRZ.com,The New York State Department of Health explains it does not count tests at colleges and universities for its zone infection rates.,https://www.wgrz.com/article/news/health/coronavirus/new-york-state-data-has-two-different-answers-on-positive-tests-in-erie-county-covid-19-coronavirus/71-8bffcf47-0678-4343-9286-7faa720e60d0,https://media.wgrz.com/assets/WGRZ/images/2e3a19c0-cb88-4746-9b18-6e3f1ce6f0fa/2e3a19c0-cb88-4746-9b18-6e3f1ce6f0fa_1140x641.jpg,2020-11-25T23:20:00Z,"BUFFALO, N.Y. Gov. Andrew Cuomo has repeatedly pointed to scientific data as his guide while navigating New York State through the ongoing COVID-19 pandemic.
The governor said business closing order",WGRZ.com,business
19,Andy Banker,Jefferson County Health Board approves mask order in 3-2 vote - KTVI Fox 2 St. Louis,The Jefferson County Health Board approved a mask order in a 3 to 2 vote Wednesday.,https://fox2now.com/news/missouri/jefferson-county-health-board-approves-mask-order-in-3-2-vote/,https://fox2now.com/wp-content/uploads/sites/14/2020/07/face-masks-summer-warm-temperatures-2-2.jpg?w=1280,2020-11-25T23:16:00Z,"JEFFERSON COUNTY, Mo. – The Jefferson County Health Board approved a mask order in a 3 to 2 vote Wednesday.
It’s been a pressing issue since August when the board over-turned a mask order the day af",KTVI Fox 2 St. Louis,business
20,Bianca Marais,Justin Timberlake donates new wheelchair accessible van for Morristown teen - WJHL-TV News Channel 11,"MORRISTOWN, Tenn. (WJHL) – A teen in Morristown, popular for sitting outside his house surrounded by signs reading “honk if you’re happy,” received a gift Wednesday from a Tennessee-born entertainer known across the globe – Justin Timberlake. Jake Stitt, 17, …",https://www.wjhl.com/news/local/justin-timberlake-donates-new-wheelchair-accessible-van-for-morristown-teen/,https://www.wjhl.com/wp-content/uploads/sites/98/2020/11/Image-from-iOS-1.jpg?w=1280,2020-11-25T23:10:00Z,"MORRISTOWN, Tenn. (WJHL) – A teen in Morristown, popular for sitting outside his house surrounded by signs reading “honk if you’re happy,” received a gift Wednesday from a Tennessee-born entertainer ",WJHL-TV News Channel 11,business
21,Rob Quinn,Recall Issued After Faulty Crockpots Burn 99 People - Newser,Consumers are urged to stop using the model immediately,https://www.newser.com/story/299235/more-than-900k-crockpots-recalled-over-burn-danger.html,https://img2-azrcdn.newser.com/image/1331679-12-20201125173849.jpeg,2020-11-25T23:05:00Z,"(Newser)
People thinking of using a certain crockpot as a pressure cooker for Thanksgiving meals should set them aside immediately, the Consumer Product Safety Commission says. Sunbeam Products is r",Newser,business
22,Tyler Rogoway,How The Once Elusive Dream Of Laser Weapons Suddenly Became A Reality - The Drive,One of Lockheed Martin's top directed energy minds explains how breakthroughs in communications and industrial tech made laser weapons possible.,https://www.thedrive.com/the-war-zone/37775/how-the-once-elusive-dream-of-laser-weapons-suddenly-became-a-reality,https://api.thedrive.com/wp-content/uploads/2020/11/325325t.jpg?quality=85,2020-11-25T22:56:04Z,"After decades of toiling and dead-ends, the dream of operational laser weaponry is about to become a reality. So, what changed that made what had been bulky systems go from clumsy pipe dreams to hard",The Drive,business
24,Al Jazeera,US markets retreat from record closings after sobering jobs news - Aljazeera.com,"The S&P 500 index and the Dow walked back from record closing highs, pulled lower by cyclicals and small caps.",https://www.aljazeera.com/economy/2020/11/25/us-stocks-retreat-from-record-closings-after-grim-jobs-figures,https://www.aljazeera.com/wp-content/uploads/2020/11/nyse-2.jpg?resize=1200%2C630,2020-11-25T22:22:01Z,"The S&amp;P 500 index closed lower on Wednesday as mounting United States layoffs in the wake of new mandated lockdowns to contain surging COVID-19 infections dampened investors appetite for risk.
T",Al Jazeera English,business
25,,Tesla increases prices on next EU batch of Model S and Model X —sparking refresh rumors - Electrek,Tesla has increased prices significantly for the next European batch of Model S and Model X vehicles. It is sparking rumors of a refresh. Tesla owners across Europe are reporting that the automaker updated its online configurator with an important price incre…,https://electrek.co/2020/11/25/tesla-increases-prices-next-eu-batch-model-s-x-sparking-refresh-rumors/,https://electrek.co/wp-content/uploads/sites/3/2020/04/Tesla-Model-S-Performance-red-hero-e1587646288988.jpg?quality=82&strip=all,2020-11-25T22:16:00Z,"Tesla has increased prices significantly for the next European batch of Model S and Model X vehicles.
It is sparking rumors of a refresh.
Tesla owners across Europe are reporting that the automaker",Electrek,business
26,Brian Heater,Gift Guide: 5 solid tech gifts to help decrease stress and increase sleep - TechCrunch,"Even in a normal year, the holidays can be an anxiety-inducing hellscape. In 2020, though — honestly, it’s hard to say what manner of climactic finale this historically rough year might have on tap. In honor of the one of the most epically rotten years on rec…",http://techcrunch.com/2020/11/25/gift-guide-5-solid-tech-gifts-to-help-decrease-stress-and-increase-sleep/,https://techcrunch.com/wp-content/uploads/2020/11/Destress-hero.jpg?w=711,2020-11-25T22:08:44Z,Welcome to TechCrunch’s 2020 Holiday Gift Guide! Need help with gift ideas? Were here to help! Well be rolling out gift guides from now through the end of December. You can find our other guides righ,TechCrunch,business
27,Brittany De Lea,"Sanders blasts Musk, Bezos, as country’s richest see wealth grow despite pandemic - Fox News","Sen. Bernie Sanders, I-Vt., lashed out at America’s richest individuals and families on Wednesday, some of whom he said had accumulated vast amounts of wealth as many Americans suffer severe financial setbacks due to the coronavirus pandemic.",https://www.foxnews.com/politics/sanders-musk-bezos-wealth-grow-pandemic,https://static.foxnews.com/foxnews.com/content/uploads/2020/08/Sanders-4.jpg,2020-11-25T22:08:05Z,"Sen. Bernie Sanders, I-Vt., lashed out at America’s richest individuals and families on Wednesday, some of whom he said had accumulated vast amounts of wealth as many Americans suffer severe financia",Fox News,business
28,Tom McKay,"France to Tech Giants: Pay Up, Buttercup - Gizmodo","The French Ministry of Economy and Finance has warned tech companies that it expects them to pay the nation’s new 3% digital service tax starting in December, Reuters reported on Wednesday.",https://gizmodo.com/france-to-tech-giants-pay-up-buttercup-1845757236,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dl52karokn2uadygpntm.jpg",2020-11-25T22:00:00Z,"The French Ministry of Economy and Finance has warned tech companies that it expects them to pay the nations new 3% digital service tax starting in December, Reuters reported on Wednesday.
France ha",Gizmodo.com,business
29,https://www.facebook.com/SeanPMeansCricket,"Utah reports a record 26 deaths from COVID-19 Wednesday, and 1781 new cases - Salt Lake Tribune","Editor’s note: The Salt Lake Tribune is providing free access to critical stories about the coronavirus. Sign up for <a href=""https://sltrib.formstack.com/forms/topstories"">our Top Stories newsletter</a>, sent to your inbox every weekday morning. To support j…",https://www.sltrib.com/news/2020/11/25/utah-reports-record/,https://www.sltrib.com/resizer/5u7PY0b3NYbe0fS7gN0iU93RJAw=/1200x630/filters:quality(85)/cloudfront-us-east-1.images.arcpublishing.com/sltrib/OO5NTJP7CJHRJBK6KKOAB3KYOM.jpg,2020-11-25T21:55:31Z,"Editors note:The Salt Lake Tribune is providing free access to critical stories about the coronavirus. Sign up for our Top Stories newsletter, sent to your inbox every weekday morning. To support jou",Salt Lake Tribune,business
30,,10 easy pasta dishes to make with your Thanksgiving leftovers - msnNOW,"From mashed potato gnocchi to stuffing meatballs, use every last bit of Thanksgiving leftovers with these pasta recipes.",https://www.insider.com/easy-pasta-dishes-make-with-thanksgiving-leftovers-2020-11,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/BB1bmGQ0.img?h=630&w=1200&m=6&q=60&o=t&l=f&f=jpg,2020-11-25T21:41:00Z,"Making gnocchi can be a time-consuming process. You have to boil and cook potatoes, rice them, knead the dough, cut, and boil. 
Using leftover mashed potatoes is a shortcut to make a delicious gnocc",INSIDER,business
31,"By Allen Kim and Pete Muntean, CNN",Thanksgiving week air travel is expected to set a pandemic-era record despite officials' calls to stay home - CNN,Thanksgiving week air travel is expected to remain strong enough to set a pandemic-era record despite urging from federal health officials for Americans to spend the holiday at home.,https://www.cnn.com/travel/article/covid-air-travel-thanksgiving-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201125110036-restricted-travelers-airport-california-1123-super-tease.jpg,2020-11-25T21:38:36Z,"(CNN) Thanksgiving week air travel is expected to remain strong enough to set a pandemic-era record despite urging from federal health officials to spend the holiday at home.
Since the CDC issued th",CNN,business
32,Daniel Cawrey,Market Wrap: Bitcoin Loses Momentum at $19.4K; Ethereum Fees Increasing - CoinDesk - CoinDesk,"Bitcoin’s price rise stalled out just before hitting $19,500 Wednesday while the Ethereum network’s fees are in an upswing.",https://www.coindesk.com/index.php?p=548290,https://static.coindesk.com/wp-content/uploads/2020/11/cdbpinov25-1200x628.jpg,2020-11-25T21:36:10Z,"The number of billion-dollar spot volume days in the bitcoin market is increasing, pushing prices higher. Ethereums transaction fees are also increasing as general cryptocurrency interest fuels deman",CoinDesk,business
33,Fernando Martinez,Local politicians and business owners criticize Hawaii's new COVID-19 pre-travel policy - SF Gate,Critics cite low infection rate and recovering economy against new COVID-19 pre-travel...,https://www.sfgate.com/hawaii/article/Hawaii-coronavirus-test-quarantine-change-policy-15754337.php,https://s.hdnux.com/photos/01/14/53/66/20102546/9/rawImage.jpg,2020-11-25T21:33:45Z,"Last week, Hawaii Gov. David Ige tightened the state’s COVID-19 pre-travel plans, requiring all travelers to have a confirmed negative coronavirus test before arriving in the island nation.The previo",SFGate,business
34,Rae Hodge,Amazon Web Service outage takes down major apps and sites - CNET,At least three news sites are among those impacted by the AWS outage.,https://www.cnet.com/news/amazon-web-service-outage-takes-down-major-apps-and-sites/,https://cnet3.cbsistatic.com/img/sQbSI5IkWu6A4wU8YUHo1_etkZw=/1200x630/2017/06/26/2da7eacc-0b09-409f-b2a1-1b74d4ddb997/gettyimages-460308440.jpg,2020-11-25T21:11:00Z,"Amazon Web Services powers big players on the web. 
Getty Images
A prolonged outage of Amazon Web Services -- a core component for a vast number of sites and apps -- brought part of the internet to",CNET,business
35,Reuters Staff,U.S. grants ByteDance new seven-day extension of TikTok sale order - filing - Reuters,"The Trump administration on Wednesday granted ByteDance a new seven-day extension of a divestiture order that had directed the Chinese company to sell its TikTok short video-sharing app, according to a court filing.",https://ca.reuters.com/article/usa-tiktok-idUSL1N2IB2E5,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2020-11-25T20:16:00Z,"By Reuters Staff
(In 2nd paragraph, corrects to say 15-day extension, not 14-day)
WASHINGTON, Nov 25 (Reuters) - The Trump administration on Wednesday granted ByteDance a new seven-day extension of",Reuters,business
38,by H Jenkins,Alexa Bliss Drags USPS For Losing Her Packages - Ringside News,"The United States Postal Service received a lot of attention this year, especially due to the Presidential election, but Alexa Bliss is not a fan. Bliss'",https://www.ringsidenews.com/2020/11/25/alexa-bliss-drags-usps-for-losing-her-packages/,https://www.ringsidenews.com/wp-content/uploads/2020/11/alexa-bliss-488482.jpg,2020-11-25T20:01:26Z,"The United States Postal Service received a lot of attention this year, especially due to the Presidential election, but Alexa Bliss is not a fan. Bliss’ disdain for USPS has nothing to do with mail-",Ringside News,business
39,By Megan Sheets For Dailymail.com,Restaurants across the US adapt outdoor dining in cold weather - Daily Mail,"In recent weeks the streets of major cities from New York to San Francisco have been flooded with a variety of outdoor dining structures including two-sided tents, wooden bungalows and igloos.",https://www.dailymail.co.uk/news/article-8985871/Restaurants-adapt-outdoor-dining-cold-weather.html,https://i.dailymail.co.uk/1s/2020/11/25/21/36112614-0-image-a-200_1606338913867.jpg,2020-11-25T19:53:00Z,"Restaurants around the United States are getting creative with their outdoor dining set-ups as winter draws near. 
Expanded outdoor dining provided a lifeline for struggling eateries over the summer",Daily Mail,business
40,Zachary Brennan,Operation Warp Speed leader says he may step down soon - POLITICO,Moncef Slaoui said the decision about his departure is unrelated to the presidential transition.,https://www.politico.com/news/2020/11/25/operation-warp-speed-slaoui-departure-440630,https://static.politico.com/ea/77/ff7a751243438d0914556228c86b/ap20262698342157-1.jpg,2020-11-25T19:47:00Z,"""I do not want my departure from the role to have anything to do with the new administration. I have more affinity for the new administration than the current one,"" said Slaoui, who's a registered De",Politico,business
41,Rich Smith,Why Square Stock Just Jumped 5% - The Motley Fool,"Square can buy Credit Karma Tax, and Intuit can buy the rest. Hooray?",https://www.l.com/investing/2020/11/25/why-square-stock-just-jumped-5/,https://g.lcdn.com/editorial/images/602431/wall-painting-depicts-a-large-yellow-fish-eating-a-smaller-yellow-fish.jpg,2020-11-25T19:40:00Z,"What happened
Shares of Square(NYSE:SQ) stock surged 4.9% in Wednesday afternoon trading, as of 1:40 p.m. EST, after the company announced it has reached a ""definitive agreement"" to acquire the Cred",Motley Fool,business
42,,Wolf Administration to Use Wireless Emergency Alert System for COVID-19 Messaging - pa.gov,"Today, the Wolf Administration will begin using the national Wireless Emergency Alert (WEA) system to provide important public messages about the COVID-19 pandemic.",https://www.governor.pa.gov/newsroom/wolf-administration-to-use-wireless-emergency-alert-system-for-covid-19-messaging/,https://www.governor.pa.gov/wp-content/uploads/revslider/home/flags-half-staff-scaled.jpg,2020-11-25T19:24:14Z,"The Wolf Administration will begin using the national Wireless Emergency Alert (WEA) system to provide important public messages about the COVID-19 pandemic.
WEA is a national public safety system t",pa.gov,business
43,Thomas Franck,"With Yellen in line to lead Treasury, here are other economic posts Biden transition team could name next week - CNBC","With Janet Yellen in line for Treasury secretary, Biden must now round out a team tasked with nursing the U.S. economy back to health.",https://www.cnbc.com/2020/11/25/biden-transition-janet-yellen-economic-team.html,https://image.cnbcfm.com/api/v1/image/106575583-15919682602020-06-11t190714z_1898899027_rc277h9t1rd5_rtrmadp_0_usa-election-biden.jpeg?v=1591968296,2020-11-25T19:20:00Z,Democratic U.S. presidential candidate and former Vice President Joe Biden attends a campaign event devoted to the reopening of the U.S. economy during the coronavirus disease (COVID-19) pandemic in ,CNBC,business
44,http://www.facebook.com/kitconews,"Gold prices unchanged on the day, find little support from Fed Minutes - Kitco NEWS","(Kitco News) - Gold prices continues to hold support above $1,800 as the precious metal finds little support from the Federal Reserve.",https://www.kitco.com/news/2020-11-25/Gold-prices-unchanged-on-the-day-find-little-support-from-Fed-Minutes.html,https://www.kitco.com/news/2017-09-20/images/Federal_Reserve_building.jpg,2020-11-25T19:10:00Z,"Editor's Note: With so much market volatility, stay on top of daily news! Get caught up in minutes with our speedy summary of today's must-read news and expert opinions. Sign up here! 
(Kitco News) ",Kitco NEWS,business
45,Tonya Garcia,Gap’s Old Navy and Athleta brands are leading the company’s turnaround - MarketWatch,"Masks now account for 4% of sales across the company, and MSNBC’s Steve Kornacki made khaki pants a hot item",https://www.marketwatch.com/story/gaps-old-navy-and-athleta-brands-are-leading-the-companys-turnaround-2020-11-25,https://s.marketwatch.com/public/resources/images/MW-IU676_oldnav_ZG_20201125133742.jpg,2020-11-25T18:55:00Z,"Gap Inc.s turnaround is being led by the Old Navy and Athleta brands as the namesake and Banana Republic brands continue to struggle during the pandemic.Gap 
 GPS,
 -19.61%
stock sank 19.8% in Wed",MarketWatch,business
46,Tresa Baldas,Pfizer COVID-19 vaccine may be in Michigan by Dec. 12; Henry Ford will distribute - Detroit Free Press,Henry Ford says it may receive Pfizer's COVID-19 vaccine as early as Dec. 12. It will be stored in freezers with temps as low as minus -85 degrees.,https://www.freep.com/story/news/local/michigan/detroit/2020/11/25/henry-ford-hospitals-approved-distribute-covid-19-vaccine/6422283002/,"https://www.gannett-cdn.com/presto/2020/05/16/PDTF/7677c99e-885e-4bed-aecd-f27dcb072e01-DSC_1451.jpg?crop=2931,1649,x0,y534&width=1600&height=800&fit=bounds",2020-11-25T18:15:38Z,"Henry Ford Hospital
 (Photo: Henry Ford Health System)
The Henry Ford Health System announced Wednesday that five of its hospitals have been approved to distribute two promising COVID-19 vaccines t",Detroit Free Press,business
49,Steve Benen,GM hands Trump one of his most important post-election defeats - MSNBC,"Between defeats at the ballot box and in the courts, Trump has struggled through November, but GM handed him one of his most important post-election defeats.",https://www.msnbc.com/rachel-maddow-show/gm-hands-trump-one-his-most-important-post-election-defeats-n1248991,https://media1.s-nbcnews.com/j/newscms/2020_46/3428280/201113-general-motors-headquarters-ew-427p_793f279576e2b42f1986cbbfb9e261fd.nbcnews-fp-1200-630.jpg,2020-11-25T17:51:00Z,"Between defeats at the ballot box and in the courts, Donald Trump has struggled through a difficult November. But as NBC News reported, among the most important of the outgoing president's post-elect",MSNBC,business
50,Lindsay Lowe,Map reveals Americans' favorite Thanksgiving pies by state — and we have questions - Yahoo Lifestyle,Plenty of people took to social media to express their confusion and dismay at the results.,https://news.yahoo.com/map-reveals-americans-favorite-thanksgiving-173127661.html,https://s.yimg.com/ny/api/res/1.2/osIFK5oU4g4nzzL00vBhxQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMDAw/https://s.yimg.com/uu/api/res/1.2/M7htFRrfchFT3aduImZ43Q--~B/aD0xMjAwO3c9MjQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-US/nbc_today_217/a2f85c8eb2fc3b9d54f7dfb4ee0b7c5e,2020-11-25T17:31:00Z,"After the turkey, stuffing and mashed potatoes, theres nothing like kicking back on Thanksgiving Day with a nice slice of cranberry pie?
On Monday, Instagram released a map showing the most popular ",Yahoo Entertainment,business
